City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
288,Ust-Maya,RU,74.73,overcast clouds,60.4167,134.5333,Gostinitsa Ust'-Uda Shans
289,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
291,Loubomo,CG,65.07,few clouds,-4.1997,12.6739,La Dolisienne
293,Hatta,IN,79.77,broken clouds,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
295,Sarankhola,BD,77.94,light rain,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
296,Belmonte,BR,72.37,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
301,Saint-Ambroise,CA,68.54,broken clouds,48.5501,-71.3324,Motel Saint-Ambroise
304,Bubaque,GW,79.95,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
309,Luganville,VU,79.12,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
310,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
311,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
316,Santa Luzia,BR,68.9,clear sky,-19.7697,-43.8514,Pousada Chao Earth
318,East London,ZA,61.79,few clouds,-33.0153,27.9116,Tu Casa
320,Smithers,CA,66.52,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
321,Phek,IN,60.17,overcast clouds,25.6667,94.5,Prayer Centre
327,Cikampek,ID,75.47,broken clouds,-6.4197,107.4558,Prime Plaza Hotel Purwakarta
330,Hobyo,SO,78.13,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
332,Sinnamary,GF,77.85,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
336,Vila Franca Do Campo,PT,66.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
338,Los Llanos De Aridane,ES,65.12,overcast clouds,28.6585,-17.9182,Valle Aridane
340,Carnarvon,AU,65.71,clear sky,-24.8667,113.6333,Hospitality Carnarvon
341,Tsabong,BW,63.34,scattered clouds,-26.0217,22.401,Springbok Motel
342,Roald,NO,60.17,overcast clouds,62.5833,6.1333,Flem Cabins
350,Langxiang,CN,69.69,overcast clouds,46.95,128.8833,Pearl Hotel
354,Tommot,RU,70.02,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
356,Manthani,IN,75.85,moderate rain,18.65,79.6667,"Sri Sai bike Paint,manthani"
357,Teya,RU,64.31,broken clouds,60.3778,92.6267,"Sri Sai bike Paint,manthani"
358,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
359,Medea,DZ,75.33,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
